mets	metNames	compartment	metFormulas
MAM00016m	(13Z)-docosenoyl-CoA	Mitochondria	C43H72N7O17P3S
MAM00016x	(13Z)-docosenoyl-CoA	Peroxisome	C43H72N7O17P3S
MAM00016r	(13Z)-docosenoyl-CoA	Endoplasmic reticulum	C43H72N7O17P3S
MAM00017c	(13Z)-eicosenoic acid	Cytosol	C20H37O2
MAM00017l	(13Z)-eicosenoic acid	Lysosome	C20H37O2
MAM00017r	(13Z)-eicosenoic acid	Endoplasmic reticulum	C20H37O2
MAM00017e	(13Z)-eicosenoic acid	Extracellular	C20H37O2
MAM00018c	(13Z)-eicosenoyl-CoA	Cytosol	C41H68N7O17P3S
MAM00018m	(13Z)-eicosenoyl-CoA	Mitochondria	C41H68N7O17P3S
MAM00018x	(13Z)-eicosenoyl-CoA	Peroxisome	C41H68N7O17P3S
MAM00018r	(13Z)-eicosenoyl-CoA	Endoplasmic reticulum	C41H68N7O17P3S
MAM00019c	(13Z)-octadecenoic acid	Cytosol	C18H33O2
MAM00019l	(13Z)-octadecenoic acid	Lysosome	C18H33O2
MAM00019r	(13Z)-octadecenoic acid	Endoplasmic reticulum	C18H33O2
MAM00019e	(13Z)-octadecenoic acid	Extracellular	C18H33O2
MAM00020c	(13Z)-octadecenoyl-CoA	Cytosol	C39H64N7O17P3S
MAM00020m	(13Z)-octadecenoyl-CoA	Mitochondria	C39H64N7O17P3S
MAM00020r	(13Z)-octadecenoyl-CoA	Endoplasmic reticulum	C39H64N7O17P3S
MAM00021c	(13Z,16Z)-docosadienoic acid	Cytosol	C22H39O2
MAM00021l	(13Z,16Z)-docosadienoic acid	Lysosome	C22H39O2
MAM00021r	(13Z,16Z)-docosadienoic acid	Endoplasmic reticulum	C22H39O2
MAM00021e	(13Z,16Z)-docosadienoic acid	Extracellular	C22H39O2
MAM00022c	(13Z,16Z)-docosadienoylcarnitine	Cytosol	C29H52NO4
MAM00022m	(13Z,16Z)-docosadienoylcarnitine	Mitochondria	C29H52NO4
MAM00022r	(13Z,16Z)-docosadienoylcarnitine	Endoplasmic reticulum	C29H52NO4
MAM00023c	(13Z,16Z)-docosadienoyl-CoA	Cytosol	C43H70N7O17P3S
MAM00023m	(13Z,16Z)-docosadienoyl-CoA	Mitochondria	C43H70N7O17P3S
MAM00023r	(13Z,16Z)-docosadienoyl-CoA	Endoplasmic reticulum	C43H70N7O17P3S
MAM00024c	(15Z)-tetracosenoylcarnitine	Cytosol	C31H59NO4
MAM00024r	(15Z)-tetracosenoylcarnitine	Endoplasmic reticulum	C31H59NO4
MAM00025c	(15Z)-tetracosenoyl-CoA	Cytosol	C45H76N7O17P3S
MAM00025x	(15Z)-tetracosenoyl-CoA	Peroxisome	C45H76N7O17P3S
MAM00025r	(15Z)-tetracosenoyl-CoA	Endoplasmic reticulum	C45H76N7O17P3S
MAM00026m	(18E)-20-oxo-20-CoA-LTB4	Mitochondria	C41H57N7O21P3S
MAM00026x	(18E)-20-oxo-20-CoA-LTB4	Peroxisome	C41H57N7O21P3S
MAM00027x	(18E)-20-oxo-20-CoA-LTE4	Peroxisome	C44H62N8O22P3S2
MAM00028c	(18R)-HEPE	Cytosol	C20H29O3
MAM00030c	(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol	Cytosol	C20H18O3
MAM00031c	(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	Cytosol	C20H23N3O7S
MAM00032c	(1R,2S)-naphthalene 1,2-oxide	Cytosol	C10H8O
MAM00032e	(1R,2S)-naphthalene 1,2-oxide	Extracellular	C10H8O
MAM00033c	(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	Cytosol	C20H23N3O7S
MAM00034c	(1S,2R)-naphthalene 1,2-oxide	Cytosol	C10H8O
MAM00035c	(24R)-24,25-dihydroxycalciol	Cytosol	C27H44O3
MAM00035m	(24R)-24,25-dihydroxycalciol	Mitochondria	C27H44O3
MAM00035e	(24R)-24,25-dihydroxycalciol	Extracellular	C27H44O3
MAM00036x	(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	Peroxisome	C48H76N7O21P3S
MAM00037x	(24R,25R)3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA	Peroxisome	C48H76N7O20P3S
MAM00038c	(2E)-decenoyl-[ACP]	Cytosol	C21H37N2O8PRS
MAM00039m	(2E)-decenoyl-CoA	Mitochondria	C31H48N7O17P3S
MAM00039x	(2E)-decenoyl-CoA	Peroxisome	C31H48N7O17P3S
MAM00040c	(2E)-docosenoyl-CoA	Cytosol	C43H72N7O17P3S
MAM00040m	(2E)-docosenoyl-CoA	Mitochondria	C43H72N7O17P3S
MAM00040x	(2E)-docosenoyl-CoA	Peroxisome	C43H72N7O17P3S
MAM00041c	(2E)-dodecenoyl-[ACP]	Cytosol	C23H41N2O8PRS
MAM00042m	(2E)-dodecenoyl-CoA	Mitochondria	C33H52N7O17P3S
MAM00042x	(2E)-dodecenoyl-CoA	Peroxisome	C33H52N7O17P3S
MAM00043c	(2E)-eicosenoyl-CoA	Cytosol	C41H68N7O17P3S
MAM00043m	(2E)-eicosenoyl-CoA	Mitochondria	C41H68N7O17P3S
MAM00043x	(2E)-eicosenoyl-CoA	Peroxisome	C41H68N7O17P3S
MAM00044c	(2E)-heneicosenoyl-CoA	Cytosol	C42H70N7O17P3S
MAM00044m	(2E)-heneicosenoyl-CoA	Mitochondria	C42H70N7O17P3S
MAM00045c	(2E)-heptadecenoyl-[ACP]	Cytosol	C28H51N2O8PRS
MAM00046m	(2E)-heptadecenoyl-CoA	Mitochondria	C38H62N7O17P3S
MAM00047c	(2E)-heptenoyl-[ACP]	Cytosol	C18H31N2O8PRS
MAM00048m	(2E)-heptenoyl-CoA	Mitochondria	C28H42N7O17P3S
MAM00049c	(2E)-hexacosenoyl-CoA	Cytosol	C47H80N7O17P3S
MAM00049x	(2E)-hexacosenoyl-CoA	Peroxisome	C47H80N7O17P3S
MAM00050c	(2E)-hexadecenoyl-[ACP]	Cytosol	C27H49N2O8PRS
MAM00051m	(2E)-hexadecenoyl-CoA	Mitochondria	C37H60N7O17P3S
MAM00051x	(2E)-hexadecenoyl-CoA	Peroxisome	C37H60N7O17P3S
MAM00052c	(2E)-hexenoyl-[ACP]	Cytosol	C17H29N2O8PRS
MAM00053m	(2E)-hexenoyl-CoA	Mitochondria	C27H40N7O17P3S
MAM00053x	(2E)-hexenoyl-CoA	Peroxisome	C27H40N7O17P3S
MAM00054c	(2E)-nonadecenoyl-CoA	Cytosol	C40H66N7O17P3S
MAM00054m	(2E)-nonadecenoyl-CoA	Mitochondria	C40H66N7O17P3S
MAM00055c	(2E)-nonenoyl-[ACP]	Cytosol	C20H35N2O8PRS
MAM00056m	(2E)-nonenoyl-CoA	Mitochondria	C30H46N7O17P3S
MAM00057c	(2E)-octadecenoyl-CoA	Cytosol	C39H64N7O17P3S
MAM00057m	(2E)-octadecenoyl-CoA	Mitochondria	C39H64N7O17P3S
MAM00057x	(2E)-octadecenoyl-CoA	Peroxisome	C39H64N7O17P3S
MAM00058c	(2E)-octenoyl-[ACP]	Cytosol	C19H33N2O8PRS
MAM00059m	(2E)-octenoyl-CoA	Mitochondria	C29H44N7O17P3S
MAM00059x	(2E)-octenoyl-CoA	Peroxisome	C29H44N7O17P3S
MAM00060c	(2E)-pentadecenoyl-[ACP]	Cytosol	C26H47N2O8PRS
MAM00061m	(2E)-pentadecenoyl-CoA	Mitochondria	C36H58N7O17P3S
MAM00062c	(2E)-pentenoyl-[ACP]	Cytosol	C16H27N2O8PRS
MAM00063m	(2E)-pentenoyl-CoA	Mitochondria	C26H38N7O17P3S
MAM00064c	(2E)-tetracosenoyl-CoA	Cytosol	C45H76N7O17P3S
MAM00064x	(2E)-tetracosenoyl-CoA	Peroxisome	C45H76N7O17P3S
MAM00065c	(2E)-tetradecenoyl-[ACP]	Cytosol	C25H45N2O8PRS
MAM00066m	(2E)-tetradecenoyl-CoA	Mitochondria	C35H56N7O17P3S
MAM00066x	(2E)-tetradecenoyl-CoA	Peroxisome	C35H56N7O17P3S
MAM00067c	(2E)-tricosenoyl-CoA	Cytosol	C44H74N7O17P3S
MAM00068c	(2E)-tridecenoyl-[ACP]	Cytosol	C24H43N2O8PRS
MAM00069m	(2E)-tridecenoyl-CoA	Mitochondria	C34H54N7O17P3S
MAM00070c	(2E)-undecenoyl-[ACP]	Cytosol	C22H39N2O8PRS
MAM00071m	(2E)-undecenoyl-CoA	Mitochondria	C32H50N7O17P3S
MAM00072m	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA	Mitochondria	C37H54N7O17P3S
MAM00072x	(2E,4Z,7Z,10Z)-hexadecatetraenoyl-CoA	Peroxisome	C37H54N7O17P3S
MAM00073m	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA	Mitochondria	C39H58N7O17P3S
MAM00073x	(2E,6Z,9Z,12Z)-octadecatetraenoyl-CoA	Peroxisome	C39H58N7O17P3S
MAM00074c	(2E,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	Cytosol	C43H64N7O17P3S
MAM00075x	(2R)-pristanoyl-CoA	Peroxisome	C40H68N7O17P3S
MAM00076x	(2R,6R,10R)-trimethyl-hendecanoyl-CoA	Peroxisome	C35H58N7O17P3S
MAM00077c	(2R)-pristanic acid	Cytosol	C19H37O2
MAM00077e	(2R)-pristanic acid	Extracellular	C19H37O2
MAM00077x	(2R)-pristanic acid	Peroxisome	C19H37O2
MAM00078x	(2S)-pristanoyl-CoA	Peroxisome	C40H68N7O17P3S
MAM00079x	(2S,6R,10R)-trimethyl-(2E)-hendecenoyl-CoA	Peroxisome	C35H56N7O17P3S
MAM00080x	(2S,6R,10R)-trimethyl-hendecanoyl-CoA	Peroxisome	C35H58N7O17P3S
MAM00081m	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	Mitochondria	C37H58N7O18P3S
MAM00081x	(3S)-3-hydroxy-cis,cis-palmito-7,10-dienoyl-CoA	Peroxisome	C37H58N7O18P3S
MAM00082m	(3S)-3-hydroxydodec-cis-6-enoyl-CoA	Mitochondria	C33H52N7O18P3S
MAM00082x	(3S)-3-hydroxydodec-cis-6-enoyl-CoA	Peroxisome	C33H52N7O18P3S
MAM00083m	(3S)-3-hydroxylinoleoyl-CoA	Mitochondria	C39H62N7O18P3S
MAM00083x	(3S)-3-hydroxylinoleoyl-CoA	Peroxisome	C39H62N7O18P3S
MAM00084m	(3S)-citramalyl-CoA	Mitochondria	C26H37N7O20P3S
MAM00085c	(3S)-hydroxy-docasa-cis,cis-13,16-dienoyl-CoA	Cytosol	C43H70N7O18P3S
MAM00086c	(3S)-hydroxy-eicosa-cis,cis,cis-11,14,17-trienoyl-CoA	Cytosol	C41H64N7O18P3S
MAM00087c	(3S)-hydroxy-eicosa-cis,cis-11,14-dienoyl-CoA	Cytosol	C41H66N7O18P3S
MAM00088m	(3Z)-dodecenoyl-CoA	Mitochondria	C33H52N7O17P3S
MAM00088x	(3Z)-dodecenoyl-CoA	Peroxisome	C33H52N7O17P3S
MAM00089m	(3Z,7Z,10Z)-hexadecatrienoyl-CoA	Mitochondria	C37H56N7O17P3S
MAM00089x	(3Z,7Z,10Z)-hexadecatrienoyl-CoA	Peroxisome	C37H56N7O17P3S
MAM00090x	(4R,8R,12R)-trimethyl-(2E)-tridecenoyl-CoA	Peroxisome	C37H60N7O17P3S
MAM00091m	(4Z,7Z,10Z)-hexadecatrienoyl-CoA	Mitochondria	C37H56N7O17P3S
MAM00091x	(4Z,7Z,10Z)-hexadecatrienoyl-CoA	Peroxisome	C37H56N7O17P3S
MAM00092c	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	Cytosol	C29H47NO4
MAM00092m	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	Mitochondria	C29H47NO4
MAM00092r	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoylcarnitine	Endoplasmic reticulum	C29H47NO4
MAM00093c	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	Cytosol	C43H64N7O17P3S
MAM00093m	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	Mitochondria	C43H64N7O17P3S
MAM00093x	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	Peroxisome	C43H64N7O17P3S
MAM00093r	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	Endoplasmic reticulum	C43H64N7O17P3S
MAM00094c	(4Z,7Z,10Z,13Z,16Z)-DPA	Cytosol	C22H33O2
MAM00094l	(4Z,7Z,10Z,13Z,16Z)-DPA	Lysosome	C22H33O2
MAM00094r	(4Z,7Z,10Z,13Z,16Z)-DPA	Endoplasmic reticulum	C22H33O2
MAM00094e	(4Z,7Z,10Z,13Z,16Z)-DPA	Extracellular	C22H33O2
MAM00095c	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	Cytosol	C43H62N7O17P3S
MAM00095m	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	Mitochondria	C43H62N7O17P3S
MAM00095x	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	Peroxisome	C43H62N7O17P3S
MAM00095r	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	Endoplasmic reticulum	C43H62N7O17P3S
MAM00096c	(5)ppPur-mRNA	Cytosol	C15H23O22P4R3
MAM00097e	(5-L-glutamyl)-L-amino acid	Extracellular	C8H13N2O5
MAM00098c	(5S,6S)-epoxy-(15R)-hydroxy-ETE	Cytosol	C20H29O4
MAM00098x	(5S,6S)-epoxy-(15R)-hydroxy-ETE	Peroxisome	C20H29O4
MAM00098r	(5S,6S)-epoxy-(15R)-hydroxy-ETE	Endoplasmic reticulum	C20H29O4
MAM00099m	(5Z)-dodecenoyl-CoA	Mitochondria	C33H52N7O17P3S
MAM00099x	(5Z)-dodecenoyl-CoA	Peroxisome	C33H52N7O17P3S
MAM00100c	(5Z,8Z,11Z)-eicosatrienoylcarnitine	Cytosol	C27H47NO4
MAM00100m	(5Z,8Z,11Z)-eicosatrienoylcarnitine	Mitochondria	C27H47NO4
MAM00100r	(5Z,8Z,11Z)-eicosatrienoylcarnitine	Endoplasmic reticulum	C27H47NO4
MAM00101c	(5Z,8Z,11Z)-eicosatrienoyl-CoA	Cytosol	C41H64N7O17P3S
MAM00101m	(5Z,8Z,11Z)-eicosatrienoyl-CoA	Mitochondria	C41H64N7O17P3S
MAM00101r	(5Z,8Z,11Z)-eicosatrienoyl-CoA	Endoplasmic reticulum	C41H64N7O17P3S
MAM00102c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine	Cytosol	C27H43NO4
MAM00102m	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine	Mitochondria	C27H43NO4
MAM00102r	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoylcarnitine	Endoplasmic reticulum	C27H43NO4
MAM00103c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	Cytosol	C41H60N7O17P3S
MAM00103m	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	Mitochondria	C41H60N7O17P3S
MAM00103r	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	Endoplasmic reticulum	C41H60N7O17P3S
MAM00104c	(6Z,9Z)-octadecadienoic acid	Cytosol	C18H31O2
MAM00104l	(6Z,9Z)-octadecadienoic acid	Lysosome	C18H31O2
MAM00104r	(6Z,9Z)-octadecadienoic acid	Endoplasmic reticulum	C18H31O2
MAM00104e	(6Z,9Z)-octadecadienoic acid	Extracellular	C18H31O2
MAM00105c	(6Z,9Z)-octadecadienoylcarnitine	Cytosol	C25H45NO4
MAM00105m	(6Z,9Z)-octadecadienoylcarnitine	Mitochondria	C25H45NO4
MAM00105r	(6Z,9Z)-octadecadienoylcarnitine	Endoplasmic reticulum	C25H45NO4
MAM00106c	(6Z,9Z)-octadecadienoyl-CoA	Cytosol	C39H62N7O17P3S
MAM00106m	(6Z,9Z)-octadecadienoyl-CoA	Mitochondria	C39H62N7O17P3S
MAM00106r	(6Z,9Z)-octadecadienoyl-CoA	Endoplasmic reticulum	C39H62N7O17P3S
MAM00107c	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine	Cytosol	C25H41NO4
MAM00107m	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine	Mitochondria	C25H41NO4
MAM00107r	(6Z,9Z,12Z,15Z)-octadecatetraenoylcarnitine	Endoplasmic reticulum	C25H41NO4
MAM00108c	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	Cytosol	C39H58N7O17P3S
MAM00108m	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	Mitochondria	C39H58N7O17P3S
MAM00108r	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	Endoplasmic reticulum	C39H58N7O17P3S
MAM00109c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine	Cytosol	C31H51NO4
MAM00109r	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoylcarnitine	Endoplasmic reticulum	C31H51NO4
MAM00110c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	Cytosol	C45H68N7O17P3S
MAM00110x	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	Peroxisome	C45H68N7O17P3S
MAM00110r	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA	Endoplasmic reticulum	C45H68N7O17P3S
MAM00111c	(6Z,9Z,12Z,15Z,18Z)-TPA	Cytosol	C24H37O2
MAM00111l	(6Z,9Z,12Z,15Z,18Z)-TPA	Lysosome	C24H37O2
MAM00111r	(6Z,9Z,12Z,15Z,18Z)-TPA	Endoplasmic reticulum	C24H37O2
MAM00111e	(6Z,9Z,12Z,15Z,18Z)-TPA	Extracellular	C24H37O2
MAM00112c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine	Cytosol	C31H49NO4
MAM00112r	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoylcarnitine	Endoplasmic reticulum	C31H49NO4
MAM00113c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA	Cytosol	C45H66N7O17P3S
MAM00113x	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA	Peroxisome	C45H66N7O17P3S
MAM00113r	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA	Endoplasmic reticulum	C45H66N7O17P3S
MAM00114c	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	Cytosol	C24H35O2
MAM00114l	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	Lysosome	C24H35O2
MAM00114r	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	Endoplasmic reticulum	C24H35O2
MAM00114e	(6Z,9Z,12Z,15Z,18Z,21Z)-THA	Extracellular	C24H35O2
MAM00115c	(7Z)-octadecenoic acid	Cytosol	C18H33O2
MAM00115l	(7Z)-octadecenoic acid	Lysosome	C18H33O2
MAM00115r	(7Z)-octadecenoic acid	Endoplasmic reticulum	C18H33O2
MAM00115e	(7Z)-octadecenoic acid	Extracellular	C18H33O2
MAM00116c	(7Z)-octadecenoyl-CoA	Cytosol	C39H64N7O17P3S
MAM00116m	(7Z)-octadecenoyl-CoA	Mitochondria	C39H64N7O17P3S
MAM00116r	(7Z)-octadecenoyl-CoA	Endoplasmic reticulum	C39H64N7O17P3S
MAM00117c	(7Z)-tetradecenoic acid	Cytosol	C14H25O2
MAM00117l	(7Z)-tetradecenoic acid	Lysosome	C14H25O2
MAM00117r	(7Z)-tetradecenoic acid	Endoplasmic reticulum	C14H25O2
MAM00117e	(7Z)-tetradecenoic acid	Extracellular	C14H25O2
MAM00118c	(7Z)-tetradecenoyl-CoA	Cytosol	C35H56N7O17P3S
MAM00118m	(7Z)-tetradecenoyl-CoA	Mitochondria	C35H56N7O17P3S
MAM00118x	(7Z)-tetradecenoyl-CoA	Peroxisome	C35H56N7O17P3S
MAM00118r	(7Z)-tetradecenoyl-CoA	Endoplasmic reticulum	C35H56N7O17P3S
MAM00119c	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	Cytosol	C43H66N7O17P3S
MAM00119m	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	Mitochondria	C43H66N7O17P3S
MAM00119r	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	Endoplasmic reticulum	C43H66N7O17P3S
MAM00120c	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine	Cytosol	C29H47NO4
MAM00120m	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine	Mitochondria	C29H47NO4
MAM00120r	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine	Endoplasmic reticulum	C29H47NO4
MAM00121c	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	Cytosol	C43H64N7O17P3S
MAM00121m	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	Mitochondria	C43H64N7O17P3S
MAM00121r	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	Endoplasmic reticulum	C43H64N7O17P3S
MAM00122c	(8Z,11Z)-eicosadienoylcarnitine	Cytosol	C27H49NO4
MAM00122m	(8Z,11Z)-eicosadienoylcarnitine	Mitochondria	C27H49NO4
MAM00122r	(8Z,11Z)-eicosadienoylcarnitine	Endoplasmic reticulum	C27H49NO4
MAM00123c	(8Z,11Z)-eicosadienoyl-CoA	Cytosol	C41H66N7O17P3S
MAM00123m	(8Z,11Z)-eicosadienoyl-CoA	Mitochondria	C41H66N7O17P3S
MAM00123r	(8Z,11Z)-eicosadienoyl-CoA	Endoplasmic reticulum	C41H66N7O17P3S
MAM00124c	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine	Cytosol	C27H45NO4
MAM00124m	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine	Mitochondria	C27H45NO4
MAM00124r	(8Z,11Z,14Z,17Z)-eicosatetraenoylcarnitine	Endoplasmic reticulum	C27H45NO4
MAM00125c	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	Cytosol	C41H62N7O17P3S
MAM00125m	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	Mitochondria	C41H62N7O17P3S
MAM00125r	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	Endoplasmic reticulum	C41H62N7O17P3S
MAM00126c	(9E)-octadecenoylcarnitine	Cytosol	C25H47NO4
MAM00126m	(9E)-octadecenoylcarnitine	Mitochondria	C25H47NO4
MAM00126r	(9E)-octadecenoylcarnitine	Endoplasmic reticulum	C25H47NO4
MAM00127c	(9E)-octadecenoyl-CoA	Cytosol	C39H64N7O17P3S
MAM00127m	(9E)-octadecenoyl-CoA	Mitochondria	C39H64N7O17P3S
MAM00127r	(9E)-octadecenoyl-CoA	Endoplasmic reticulum	C39H64N7O17P3S
MAM00128c	(9E)-tetradecenoic acid	Cytosol	C14H25O2
MAM00128l	(9E)-tetradecenoic acid	Lysosome	C14H25O2
MAM00128r	(9E)-tetradecenoic acid	Endoplasmic reticulum	C14H25O2
MAM00128e	(9E)-tetradecenoic acid	Extracellular	C14H25O2
MAM00129c	(9E)-tetradecenoyl-CoA	Cytosol	C35H56N7O17P3S
MAM00129m	(9E)-tetradecenoyl-CoA	Mitochondria	C35H56N7O17P3S
MAM00129r	(9E)-tetradecenoyl-CoA	Endoplasmic reticulum	C35H56N7O17P3S
MAM00130c	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine	Cytosol	C31H53NO4
MAM00130r	(9Z,12Z,15Z,18Z)-tetracosatetraenoylcarnitine	Endoplasmic reticulum	C31H53NO4
MAM00131c	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA	Cytosol	C45H70N7O17P3S
