rxns	rxnNames	formulas	grRules	subSystems
MAR04370	3-Phospho-D-glyceroyl phosphate phosphohydrolase	1,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + H+[c] + Pi[c]	ENSG00000119640 or ENSG00000170634	Glycolysis / Gluconeogenesis
MAR04371	3-phospho-D-glycerate 1,2-phosphomutase	1,3-bisphospho-D-glycerate[c] => 2,3-bisphospho-D-glycerate[c] + H+[c]	ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784	Glycolysis / Gluconeogenesis
MAR04372	2,3-bisphospho-D-glycerate 2-phosphohydrolase	2,3-bisphospho-D-glycerate[c] + H2O[c] => 3-phospho-D-glycerate[c] + Pi[c]	ENSG00000119640 or ENSG00000170634	Glycolysis / Gluconeogenesis
MAR04373	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)	1,3-bisphospho-D-glycerate[c] + H+[c] + NADH[c] <=> D-glyceraldehyde 3-phosphate[c] + NAD+[c] + Pi[c]	ENSG00000105679 or ENSG00000111640	Glycolysis / Gluconeogenesis
MAR04375	D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)	DHAP[c] + D-glyceraldehyde 3-phosphate[c] <=> fructose-1,6-bisphosphate[c]	ENSG00000109107 or ENSG00000136872 or ENSG00000149925	Glycolysis / Gluconeogenesis
MAR04377	D-Fructose-1,6-bisphosphate 1-phosphohydrolase	fructose-1,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]	ENSG00000130957 or ENSG00000165140	Glycolysis / Gluconeogenesis
MAR04381	D-glucose-6-phosphate aldose-ketose-isomerase	fructose-6-phosphate[c] <=> glucose-6-phosphate[c]	ENSG00000105220	Glycolysis / Gluconeogenesis
MAR04391	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase	DHAP[c] <=> D-glyceraldehyde 3-phosphate[c]	ENSG00000111669	Glycolysis / Gluconeogenesis
MAR04394	ATP:D-glucose 6-phosphotransferase	ATP[c] + glucose[c] => ADP[c] + glucose-6-phosphate[c] + H+[c]	ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883	Glycolysis / Gluconeogenesis
MAR04396	alpha-D-glucose 1,6-phosphomutase	glucose-1-phosphate[c] <=> glucose-6-phosphate[c]	ENSG00000079739 or ENSG00000169299	Glycolysis / Gluconeogenesis
MAR04521	D-Glucose-6-phosphate phosphohydrolase	glucose-6-phosphate[r] + H2O[r] => glucose[r] + Pi[r]	ENSG00000131482 or ENSG00000141349 or ENSG00000152254	Glycolysis / Gluconeogenesis
MAR06412	acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase	CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m]	ENSG00000110435 and ENSG00000150768	Glycolysis / Gluconeogenesis
MAR07745	D-glucose 1-epimerase	beta-D-glucose[c] <=> glucose[c]	ENSG00000143891	Glycolysis / Gluconeogenesis
MAR07747	ADP:D-glucose 6-phosphotransferase	ADP[c] + glucose[c] => AMP[c] + glucose-6-phosphate[c] + H+[c]	ENSG00000159322	Glycolysis / Gluconeogenesis
MAR08360		ethanol[x] + H2O2[x] => acetaldehyde[x] + 2 H2O[x]	ENSG00000121691	Glycolysis / Gluconeogenesis
MAR08652		carbamoyl-phosphate[r] + glucose[r] => CO2[r] + glucose-6-phosphate[r] + NH3[r]	ENSG00000131482 or ENSG00000141349 or ENSG00000152254	Glycolysis / Gluconeogenesis
MAR08757		ethanol[c] + H+[c] + NADPH[c] + O2[c] => acetaldehyde[c] + 2 H2O[c] + NADP+[c]	ENSG00000130649	Glycolysis / Gluconeogenesis
MAR03989	maltose glucohydrolase	H2O[e] + maltose[e] => 2 glucose[e]	ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335	Starch and sucrose metabolism
MAR04122	UDP-glucose:NAD+ 6-oxidoreductase	H2O[c] + 2 NAD+[c] + UDP-glucose[c] => 3 H+[c] + 2 NADH[c] + UDP-glucuronate[c]	ENSG00000109814	Starch and sucrose metabolism
MAR04837	alpha,alpha-trehalose glucohydrolase	H2O[e] + trehalose[e] => 2 glucose[e]	ENSG00000118094 or ENSG00000142102	Starch and sucrose metabolism
MAR05395	UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase	glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 H+[c] + 8 UDP[c]	ENSG00000056998 or ENSG00000163754	Starch and sucrose metabolism
MAR05396		glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 H+[c] + 3 UDP[c]	ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754	Starch and sucrose metabolism
MAR09727		UDP-glucose[c] => H+[c] + UDP[c] + glycogen[c]	ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281	Starch and sucrose metabolism
MAR05397		glycogenin G11[c] => glycogenin G4G7[c]	ENSG00000114480	Starch and sucrose metabolism
MAR05398		glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c]	ENSG00000068976 or ENSG00000100504 or ENSG00000100994	Starch and sucrose metabolism
MAR05399		glycogenin G4G4[c] => glycogenin G7G1[c]	ENSG00000162688	Starch and sucrose metabolism
MAR05400		glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c]	ENSG00000162688	Starch and sucrose metabolism
MAR05401		glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c]	ENSG00000068976 or ENSG00000100504 or ENSG00000100994	Starch and sucrose metabolism
MAR08568		H2O[c] + maltodecaose[c] => fructose[c] + maltononaose[c]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08569		H2O[e] + maltodecaose[e] => glucose[e] + maltononaose[e]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08570		2 H2O[c] + maltononaose[c] => 2 fructose[c] + maltoheptaose[c]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08571		2 H2O[e] + maltononaose[e] => 2 glucose[e] + maltoheptaose[e]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08572		H2O[c] + maltoheptaose[c] => fructose[c] + maltohexaose[c]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08573		H2O[e] + maltoheptaose[e] => glucose[e] + maltohexaose[e]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08574		H2O[c] + maltohexaose[c] => fructose[c] + maltopentaose[c]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08575		H2O[e] + maltohexaose[e] => glucose[e] + maltopentaose[e]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08576		H2O[c] + maltopentaose[c] => fructose[c] + maltotetraose[c]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08577		H2O[e] + maltopentaose[e] => glucose[e] + maltotetraose[e]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08578		H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08579		H2O[e] + maltotetraose[e] => glucose[e] + maltotriose[e]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08581		H2O[e] + maltotriose[e] => glucose[e] + maltose[e]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08591		H2O[c] + maltotriose[c] => glucose[c] + maltose[c]	ENSG00000214013 or ENSG00000257335	Starch and sucrose metabolism
MAR08592		H2O[l] + maltotriose[l] => glucose[l] + maltose[l]	ENSG00000171298	Starch and sucrose metabolism
MAR08580		H2O[c] + maltotriose[c] => fructose[c] + maltose[c]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08582		H2O[c] + maltose[c] => 2 fructose[c]	ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480	Starch and sucrose metabolism
MAR08587	maltose glucohydrolase	H2O[c] + maltose[c] => 2 glucose[c]	ENSG00000214013 or ENSG00000257335	Starch and sucrose metabolism
MAR08589	maltose glucohydrolase	H2O[l] + maltose[l] => 2 glucose[l]	ENSG00000171298	Starch and sucrose metabolism
MAR08583	1,4-alpha-D-Glucan glucohydrolase	8 H2O[e] + starch structure 1[e] => 8 glucose[e] + starch structure 2[e]	ENSG00000257335	Starch and sucrose metabolism
MAR08584		H2O[e] + starch structure 2[e] => glucose[e] + maltose[e]	ENSG00000090402	Starch and sucrose metabolism
MAR08585	3-phospho-D-glyceroyl-phosphate:alpha-D-glucose-1-phosphate 6-phosphotransferase	1,3-bisphospho-D-glycerate[c] + glucose-1-phosphate[c] => 3-phospho-D-glycerate[c] + glucose-1,6-bisphosphate[c]	ENSG00000165434	Starch and sucrose metabolism
MAR03944	UTP:alpha-D-glucose-1-phosphate uridylyltransferase	glucose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-glucose[c]	ENSG00000169764	Galactose metabolism
MAR04128	UDP-glucose 4-epimerase	UDP-galactose[c] <=> UDP-glucose[c]	ENSG00000117308	Galactose metabolism
MAR04130		ATP[c] + galactose[c] => ADP[c] + alpha-D-galactose-1-phosphate[c] + H+[c]	ENSG00000108479 or ENSG00000156958	Galactose metabolism
MAR04131	UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase	glucose-1-phosphate[c] + UDP-galactose[c] <=> alpha-D-galactose-1-phosphate[c] + UDP-glucose[c]	ENSG00000213930	Galactose metabolism
MAR04132	UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase	galactose-1-phosphate[c] + UDP-glucose[c] => glucose-1-phosphate[c] + UDP-galactose[c]	ENSG00000213930	Galactose metabolism
MAR04303	sucrose glucohydrolase	H2O[e] + sucrose[e] => fructose[e] + glucose[e]	ENSG00000090402 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335	Galactose metabolism
MAR04414	ATP:alpha-D-galactose 1-phosphotransferase	ATP[c] + galactose[c] => ADP[c] + galactose-1-phosphate[c] + H+[c]	ENSG00000108479 or ENSG00000156958 or ENSG00000166262	Galactose metabolism
MAR04415	Lactose galactohydrolase	H2O[e] + lactose[e] => galactose[e] + glucose[e]	ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167	Galactose metabolism
MAR04416	Galactosylglycerol galactohydrolase	galactosylglycerol[e] + H2O[e] => galactose[e] + glycerol[e]	ENSG00000102393 or ENSG00000170266 or ENSG00000241343	Galactose metabolism
MAR04774	CTP:D-tagatose 6-phosphate 1-phosphotransferase	CDP[c] + H+[c] + tagatose-1,6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c]	ENSG00000067057 or ENSG00000141959 or ENSG00000152556	Galactose metabolism
MAR04775	ITP:D-tagatose 6-phosphate 1-phosphotransferase	D-tagatose-6-phosphate[c] + ITP[c] <=> H+[c] + IDP[c] + tagatose-1,6-bisphosphate[c]	ENSG00000067057 or ENSG00000141959 or ENSG00000152556	Galactose metabolism
MAR04831	Lactose:(acceptor) 3-oxidoreductase	lactose[e] + NAD+[e] <=> 3-ketolactose[e] + H+[e] + NADH[e]		Galactose metabolism
MAR04832	3-Ketolactose galactohydrolase	3-keto-beta-D-galactose[e] + glucose[e] <=> 3-ketolactose[e] + H2O[e]	ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167	Galactose metabolism
MAR07674	UDP-alpha-D-galactose:D-glucose 4-beta-D-galactosyltransferase	glucose[g] + UDP-galactose[g] => H+[g] + lactose[g] + UDP[g]	ENSG00000086062 or ENSG00000117411 or ENSG00000167531	Galactose metabolism
MAR08761	ATP:D-tagatose 6-phosphotransferase	ATP[c] + D-tagatose[c] => ADP[c] + D-tagatose-6-phosphate[c] + H+[c]	ENSG00000138030	Galactose metabolism
MAR08762		D-tagatose-6-phosphate[c] <=> DHAP[c] + glyceraldehyde[c]	ENSG00000109107 or ENSG00000136872 or ENSG00000149925	Galactose metabolism
MAR08764		H2O[l] + lactose[l] => galactose[l] + glucose[l]	ENSG00000115850	Galactose metabolism
MAR08766	galactitol:NADP+ 1-oxidoreductase	galactose[c] + H+[c] + NADPH[c] <=> galactitol[c] + NADP+[c]	ENSG00000085662 or ENSG00000198074	Galactose metabolism
MAR08767	UTP:alpha-D-galactose-1-phosphate uridylyltransferase	alpha-D-galactose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-galactose[c]	ENSG00000213930	Galactose metabolism
MAR00454	ATP:D-glyceraldehyde 3-phosphotransferase	ATP[c] + glyceraldehyde[c] => ADP[c] + D-glyceraldehyde 3-phosphate[c] + H+[c]		Fructose and mannose metabolism
MAR04297		ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-2,6-bisphosphate[c] + H+[c]	ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525	Fructose and mannose metabolism
MAR04310	ATP:D-fructose 1-phosphotransferase	ATP[c] + fructose[c] => ADP[c] + fructose-1-phosphate[c] + H+[c]	ENSG00000138030	Fructose and mannose metabolism
MAR04315	D-Glucitol:NAD+ 2-oxidoreductase	D-glucitol[c] + NAD+[c] <=> fructose[c] + H+[c] + NADH[c]	ENSG00000140263	Fructose and mannose metabolism
MAR04316	D-Glucitol:NADP+ 1-oxidoreductase	D-glucitol[c] + NADP+[c] <=> glucose[c] + H+[c] + NADPH[c]	ENSG00000085662 or ENSG00000198074	Fructose and mannose metabolism
MAR04317		ATP[c] + D-glucitol[c] => ADP[c] + H+[c] + sorbitol-3-phosphate[c]	ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456	Fructose and mannose metabolism
MAR04318		ATP[c] + fructose[c] => ADP[c] + fructose-3-phosphate[c] + H+[c]	ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456	Fructose and mannose metabolism
MAR04319	ATP:D-fructose 6-phosphotransferase	ATP[c] + fructose[c] => ADP[c] + fructose-6-phosphate[c] + H+[c]	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883	Fructose and mannose metabolism
MAR04320		ATP[c] + mannose-1-phosphate[c] => ADP[c] + D-mannose-1,6-bisphosphate[c] + H+[c]	ENSG00000116199 or ENSG00000141560 or ENSG00000162408 or ENSG00000167363 or ENSG00000172456	Fructose and mannose metabolism
MAR04356	D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	DHAP[c] + glyceraldehyde[c] => fructose-1-phosphate[c]	ENSG00000109107 or ENSG00000136872 or ENSG00000149925	Fructose and mannose metabolism
MAR04383	D-mannose-6-phosphate aldose-ketose-isomerase	fructose-6-phosphate[c] <=> mannose-6-phosphate[c]	ENSG00000178802	Fructose and mannose metabolism
MAR04385	D-mannose 6-phosphate 1,6-phosphomutase	mannose-6-phosphate[c] => mannose-1-phosphate[c]	ENSG00000100413 or ENSG00000100417 or ENSG00000140650	Fructose and mannose metabolism
MAR04386	GDP:D-mannose-1-phosphate guanylyltransferase	GDP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + Pi[c]	ENSG00000164068 or ENSG00000173540	Fructose and mannose metabolism
MAR04387	GTP:alpha-D-mannose-1-phosphate guanylyltransferase	GTP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + PPi[c]	ENSG00000173540	Fructose and mannose metabolism
MAR04399	GDP-alpha-D-mannose 4,6-hydro-lyase (GDP-4-dehydro-alpha-D-rhamnose-forming)	GDP-mannose[c] => GDP-4-dehydro-6-deoxy-D-mannose[c] + H2O[c]	ENSG00000112699	Fructose and mannose metabolism
MAR04400	GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)	GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADH[c] => GDP-L-fucose[c] + NAD+[c]	ENSG00000104522	Fructose and mannose metabolism
MAR04401	GTP:beta-L-fucose-1-phosphate guanylyltransferase	GTP[c] + H+[c] + L-fucose-1-phosphate[c] => GDP-L-fucose[c] + PPi[c]	ENSG00000116783 or ENSG00000254685	Fructose and mannose metabolism
MAR04402	ATP:6-deoxy-L-galactose 1-phosphotransferase	6-deoxy-L-galactose[c] + ATP[c] <=> ADP[c] + H+[c] + L-fucose-1-phosphate[c]	ENSG00000157353	Fructose and mannose metabolism
MAR04403	L-fucose aldose-ketose-isomerase	6-deoxy-L-galactose[c] => L-fuculose[c]		Fructose and mannose metabolism
MAR04490	ATP:D-mannose 6-phosphotransferase	ATP[c] + mannose[c] => ADP[c] + H+[c] + mannose-6-phosphate[c]	ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883	Fructose and mannose metabolism
MAR04706	beta-D-fructose-2,6-bisphosphate 2-phosphohydrolase	fructose-2,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]	ENSG00000078237 or ENSG00000114268 or ENSG00000123836 or ENSG00000158571 or ENSG00000170525	Fructose and mannose metabolism
MAR08768	GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing)	GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADPH[c] => GDP-L-fucose[c] + NADP+[c]	ENSG00000104522	Fructose and mannose metabolism
MAR04590	Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming)	H+[c] + L-xylulose[c] + NADPH[c] => NADP+[c] + xylitol[c]	ENSG00000169738	Pentose and glucuronate interconversions
MAR04591	xylitol:NAD oxidoreductase	NAD+[c] + xylitol[c] => H+[c] + L-xylulose[c] + NADH[c]	ENSG00000115425 or ENSG00000116353	Pentose and glucuronate interconversions
MAR04592	xylitol:NADP+ oxidoreductase	D-xylose[c] + H+[c] + NADPH[c] <=> NADP+[c] + xylitol[c]	ENSG00000085662 or ENSG00000198074	Pentose and glucuronate interconversions
MAR04593	xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming)	NAD+[c] + xylitol[c] => D-xylulose[c] + H+[c] + NADH[c]	ENSG00000140263	Pentose and glucuronate interconversions
MAR04594	D-xylose:NADP+ 1-oxidoreductase	D-xylose[c] + NADP+[c] => D-xylonolactone[c] + H+[c] + NADPH[c]	ENSG00000104808	Pentose and glucuronate interconversions
MAR04595	ATP:D-xylulose 5-phosphotransferase	ADP[c] + D-xylulose-5-phosphate[c] + H+[c] <=> ATP[c] + D-xylulose[c]	ENSG00000093217	Pentose and glucuronate interconversions
MAR08341	L-Arabitol:NADP+ 1-oxidoreductase	H+[c] + L-arabinose[c] + NADPH[c] => L-arabitol[c] + NADP+[c]	ENSG00000053371 or ENSG00000085662 or ENSG00000117448	Pentose and glucuronate interconversions
MAR08342	L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming)	H+[c] + L-xylulose[c] + NADH[c] <=> L-arabitol[c] + NAD+[c]		Pentose and glucuronate interconversions
MAR08344	L-gulonate:NADP+ 6-oxidoreductase	glucuronate[r] + H+[r] + NADPH[r] <=> L-gulonate[r] + NADP+[r]	ENSG00000117448	Pentose and glucuronate interconversions
MAR08352	L-Gulonate:NAD+ 3-oxidoreductase	3-dehydro-L-gulonate[c] + H+[c] + NADH[c] <=> L-gulonate[c] + NAD+[c]	ENSG00000165475	Pentose and glucuronate interconversions
MAR08353	3-Dehydro-L-gulonate carboxy-lyase	3-dehydro-L-gulonate[c] + H+[c] <=> CO2[c] + L-xylulose[c]		Pentose and glucuronate interconversions
MAR08726	ATP:D-ribulose 5-phosphotransferase	ATP[c] + D-ribulose[c] => ADP[c] + H+[c] + ribulose-5-phosphate[c]	ENSG00000171174	Pentose and glucuronate interconversions
MAR08727		H2O[c] + UDP-glucuronate[c] => D-glucuronate 1-phosphate[c] + 2 H+[c] + UMP[c]	ENSG00000120697	Pentose and glucuronate interconversions
MAR08728		D-glucuronate 1-phosphate[c] + H2O[c] => glucuronate[c] + Pi[c]		Pentose and glucuronate interconversions
MAR08729	UDP-glucuronate glucuronohydrolase	H2O[c] + UDP-glucuronate[c] => glucuronate[c] + H+[c] + UDP[c]	ENSG00000115652	Pentose and glucuronate interconversions
MAR06537	L-gulonate:NADP+ 6-oxidoreductase	glucuronate[c] + H+[c] + NADPH[c] <=> L-gulonate[c] + NADP+[c]	ENSG00000117448	Pentose and glucuronate interconversions
MAR01568	Acetaldehyde:NAD+ oxidoreductase	acetaldehyde[c] + H2O[c] + NAD+[c] => acetate[c] + 2 H+[c] + NADH[c]	ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254	Pyruvate metabolism
MAR03853	(R)-S-Lactoylglutathione methylglyoxal-lyase (isomerizing)	GSH[c] + methylglyoxal[c] => (R)-S-lactoylglutathione[c]	ENSG00000124767 or ENSG00000167699	Pyruvate metabolism
MAR03854	Lactaldehyde:NAD+ 1-oxidoreductase	H+[c] + methylglyoxal[c] + NADH[c] => lactaldehyde[c] + NAD+[c]	ENSG00000085662 or ENSG00000198074	Pyruvate metabolism
MAR03855	Propane-1,2-diol:NADP+ 1-oxidoreductase	H+[c] + lactaldehyde[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]	ENSG00000085662 or ENSG00000198074	Pyruvate metabolism
MAR03857	(R)-S-Lactoylglutathione hydrolase	(R)-S-lactoylglutathione[c] + H2O[c] => D-lactate[c] + GSH[c] + H+[c]	ENSG00000063854 or ENSG00000103253	Pyruvate metabolism
MAR03859	(R)-Lactate:ferricytochrome-c 2-oxidoreductase	D-lactate[c] + 2 ferricytochrome C[m] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c]	ENSG00000166816 or ENSG00000182224	Pyruvate metabolism
MAR04087	(S)-malate:NAD+ oxidoreductase (decarboxylating)	malate[m] + NAD+[m] => CO2[m] + NADH[m] + pyruvate[m]	ENSG00000082212 or ENSG00000151376	Pyruvate metabolism
MAR04089	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)	malate[c] + NADP+[c] => CO2[c] + NADPH[c] + pyruvate[c]	ENSG00000013392 or ENSG00000065833	Pyruvate metabolism
