IDs	subSystems
SS_62	Fatty acid metabolism
SS_63	Fatty acid oxidation
SS_64	Folate metabolism
SS_65	Formation and hydrolysis of cholesterol esters
SS_66	Fructose and mannose metabolism
SS_67	Galactose metabolism
SS_68	Glucocorticoid biosynthesis
SS_69	Glutathione metabolism
SS_70	Glycerolipid metabolism
SS_71	Glycerophospholipid metabolism
SS_72	Glycine, serine and threonine metabolism
SS_73	Glycolysis / Gluconeogenesis
SS_74	Glycosphingolipid biosynthesis-ganglio series
SS_75	Glycosphingolipid biosynthesis-globo series
SS_76	Glycosphingolipid biosynthesis-lacto and neolacto series
SS_77	Glycosphingolipid metabolism
SS_78	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
SS_79	Glyoxylate and dicarboxylate metabolism
SS_80	Heme degradation
SS_81	Heparan sulfate degradation
SS_82	Hippurate metabolism
SS_83	Histidine metabolism
SS_84	Inositol phosphate metabolism
SS_85	Insect hormone biosynthesis
SS_86	Isolated
SS_87	Keratan sulfate biosynthesis
SS_88	Keratan sulfate degradation
SS_89	Leukotriene metabolism
SS_90	Linoleate metabolism
SS_91	Lipoic acid metabolism
SS_92	Lysine metabolism
SS_93	Metabolism of other amino acids
SS_94	Miscellaneous
SS_95	N-glycan metabolism
SS_96	Nicotinate and nicotinamide metabolism
SS_97	Nucleotide metabolism
SS_98	O-glycan metabolism
SS_99	Omega-3 fatty acid metabolism
SS_100	Omega-6 fatty acid metabolism
SS_101	Oxidative phosphorylation
SS_102	Pantothenate and CoA metabolism
SS_103	Pentose Phosphate Pathway
SS_104	Pentose and glucuronate interconversions
SS_105	Pentose phosphate pathway
SS_106	Peptide metabolism
SS_107	Phenylalanine metabolism
SS_108	Phenylalanine, tyrosine and tryptophan biosynthesis
SS_109	Phosphatidylinositol phosphate metabolism
SS_110	Pool reactions
SS_111	Porphyrin metabolism
SS_112	Propanoate metabolism
SS_113	Prostaglandin biosynthesis
SS_114	Protein assembly
SS_115	Protein degradation
SS_116	Protein modification
SS_117	Purine metabolism
SS_118	Pyrimidine metabolism
SS_119	Pyruvate metabolism
SS_120	ROS detoxification
SS_121	Retinol metabolism
SS_122	Riboflavin metabolism
SS_123	Serotonin and melatonin biosynthesis
SS_124	Sphingolipid metabolism
SS_125	Starch and sucrose metabolism
SS_126	Steroid metabolism
SS_127	Sulfur metabolism
SS_128	Terpenoid backbone biosynthesis
SS_129	Thiamine metabolism
SS_130	Toluene degradation
SS_131	Transport reactions
SS_132	Triacylglycerol synthesis
SS_133	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
SS_134	Tryptophan metabolism
SS_135	Tyrosine metabolism
SS_136	Ubiquinone and other terpenoid-quinone biosynthesis
SS_137	Ubiquinone synthesis
SS_138	Urea cycle
SS_139	Valine, leucine, and isoleucine metabolism
SS_140	Vitamin A metabolism
SS_141	Vitamin B12 metabolism
SS_142	Vitamin B2 metabolism
SS_143	Vitamin B6 metabolism
SS_144	Vitamin C metabolism
SS_145	Vitamin D metabolism
SS_146	Vitamin E metabolism
SS_147	Xenobiotics metabolism
SS_148	octane oxidation
